lead_id,status,priority,business_name,owner_manager,website,phone,email,contact_form_url,city_service_area,industry,gbp_url,review_count,rating,specific_website_issue,specific_local_seo_issue,source,utm_source,utm_medium,utm_campaign,first_contact_date,last_touch_date,next_follow_up_date,follow_up_count,reply_status,free_review_requested,free_review_delivered,call_booked,proposal_sent,outcome,estimated_value,notes
SD-001,not_contacted
SD-002,not_contacted
SD-003,not_contacted
SD-004,not_contacted
SD-005,not_contacted
SD-006,not_contacted
SD-007,not_contacted
SD-008,not_contacted
SD-009,not_contacted
SD-010,not_contacted
SD-011,not_contacted
SD-012,not_contacted
SD-013,not_contacted
SD-014,not_contacted
SD-015,not_contacted
SD-016,not_contacted
SD-017,not_contacted
SD-018,not_contacted
SD-019,not_contacted
SD-020,not_contacted
SD-021,not_contacted
SD-022,not_contacted
SD-023,not_contacted
SD-024,not_contacted
SD-025,not_contacted
SD-026,not_contacted
SD-027,not_contacted
SD-028,not_contacted
SD-029,not_contacted
SD-030,not_contacted
SD-031,not_contacted
SD-032,not_contacted
SD-033,not_contacted
SD-034,not_contacted
SD-035,not_contacted
SD-036,not_contacted
SD-037,not_contacted
SD-038,not_contacted
SD-039,not_contacted
SD-040,not_contacted
SD-041,not_contacted
SD-042,not_contacted
SD-043,not_contacted
SD-044,not_contacted
SD-045,not_contacted
SD-046,not_contacted
SD-047,not_contacted
SD-048,not_contacted
SD-049,not_contacted
SD-050,not_contacted
SD-051,not_contacted
SD-052,not_contacted
SD-053,not_contacted
SD-054,not_contacted
SD-055,not_contacted
SD-056,not_contacted
SD-057,not_contacted
SD-058,not_contacted
SD-059,not_contacted
SD-060,not_contacted
SD-061,not_contacted
SD-062,not_contacted
SD-063,not_contacted
SD-064,not_contacted
SD-065,not_contacted
SD-066,not_contacted
SD-067,not_contacted
SD-068,not_contacted
SD-069,not_contacted
SD-070,not_contacted
SD-071,not_contacted
SD-072,not_contacted
SD-073,not_contacted
SD-074,not_contacted
SD-075,not_contacted
SD-076,not_contacted
SD-077,not_contacted
SD-078,not_contacted
SD-079,not_contacted
SD-080,not_contacted
SD-081,not_contacted
SD-082,not_contacted
SD-083,not_contacted
SD-084,not_contacted
SD-085,not_contacted
SD-086,not_contacted
SD-087,not_contacted
SD-088,not_contacted
SD-089,not_contacted
SD-090,not_contacted
SD-091,not_contacted
SD-092,not_contacted
SD-093,not_contacted
SD-094,not_contacted
SD-095,not_contacted
SD-096,not_contacted
SD-097,not_contacted
SD-098,not_contacted
SD-099,not_contacted
SD-100,not_contacted
